Content ID,Reaction_type,Reaction_Year,Reaction_Month,Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,Dislike,2020,11,Photo,Studying,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2020,9,Photo,Studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Dislike,2020,11,Photo,Studying,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Want,2021,2,Photo,Studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2020,7,Photo,Studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2020,8,Photo,Studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Worried,2021,5,Photo,Studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2021,3,Photo,Studying,negative,5.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,,2020,12,Photo,Healthy eating,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Dislike,2020,6,Photo,Healthy eating,negative,10.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Intrigued,2020,9,Photo,Healthy eating,positive,45.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Peeking,2020,8,Photo,Healthy eating,neutral,35.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Scared,2021,2,Photo,Healthy eating,negative,15.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Hate,2021,3,Photo,Healthy eating,negative,5.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Disgust,2021,3,Photo,Healthy eating,negative,0.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Hate,2021,5,Photo,Healthy eating,negative,5.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Like,2021,3,Photo,Healthy eating,positive,50.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Love,2021,5,Photo,Healthy eating,positive,65.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Love,2020,8,Photo,Healthy eating,positive,65.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Heart,2021,6,Photo,Healthy eating,positive,60.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Indifferent,2020,7,Photo,Healthy eating,neutral,20.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Peeking,2020,8,Photo,Healthy eating,neutral,35.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Love,2020,9,Photo,Healthy eating,positive,65.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,Like,2021,3,Photo,Healthy eating,positive,50.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,,2021,3,Photo,Healthy eating,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,Hate,2020,12,Photo,Healthy eating,negative,5.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Super love,2020,8,Photo,Healthy eating,positive,75.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Adore,2021,1,Photo,Healthy eating,positive,72.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Scared,2020,9,Photo,Healthy eating,negative,15.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Cherish,2020,7,Photo,Healthy eating,positive,70.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Adore,2020,10,Photo,Healthy eating,positive,72.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Interested,2021,6,Photo,Healthy eating,positive,30.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Heart,2020,12,Photo,Healthy eating,positive,60.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Like,2021,6,Photo,Healthy eating,positive,50.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Like,2021,6,Photo,Healthy eating,positive,50.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Hate,2020,11,Photo,Healthy eating,negative,5.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Interested,2021,5,Photo,Healthy eating,positive,30.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Dislike,2021,5,Photo,Healthy eating,negative,10.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Peeking,2020,11,Photo,Healthy eating,neutral,35.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Heart,2020,6,Photo,Healthy eating,positive,60.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Super love,2021,3,Photo,Healthy eating,positive,75.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Want,2020,7,Photo,Healthy eating,positive,70.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Hate,2020,8,Photo,Healthy eating,negative,5.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Dislike,2020,11,Photo,Healthy eating,negative,10.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Scared,2020,12,Photo,Healthy eating,negative,15.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Dislike,2021,4,Photo,Healthy eating,negative,10.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Want,2020,11,Photo,Healthy eating,positive,70.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Interested,2021,6,Photo,Healthy eating,positive,30.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Love,2020,10,Photo,Healthy eating,positive,65.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Heart,2021,5,Photo,Healthy eating,positive,60.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Disgust,2020,8,Photo,Healthy eating,negative,0.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Adore,2020,8,Photo,Healthy eating,positive,72.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Adore,2020,10,Photo,Healthy eating,positive,72.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Adore,2020,11,Photo,Healthy eating,positive,72.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Worried,2020,8,Photo,Healthy eating,negative,12.0
230c4e4d-70c3-461d-b42c-ec09396efb3f,Interested,2020,11,Photo,Healthy eating,positive,30.0
356fff80-da4d-4785-9f43-bc1261031dc6,,2020,8,Photo,Technology,,
356fff80-da4d-4785-9f43-bc1261031dc6,Worried,2021,4,Photo,Technology,negative,12.0
356fff80-da4d-4785-9f43-bc1261031dc6,Want,2020,9,Photo,Technology,positive,70.0
356fff80-da4d-4785-9f43-bc1261031dc6,Heart,2020,10,Photo,Technology,positive,60.0
356fff80-da4d-4785-9f43-bc1261031dc6,Scared,2020,10,Photo,Technology,negative,15.0
356fff80-da4d-4785-9f43-bc1261031dc6,Heart,2021,5,Photo,Technology,positive,60.0
356fff80-da4d-4785-9f43-bc1261031dc6,Hate,2020,9,Photo,Technology,negative,5.0
356fff80-da4d-4785-9f43-bc1261031dc6,Indifferent,2020,10,Photo,Technology,neutral,20.0
01ab84dd-6364-4236-abbb-3f237db77180,,2021,2,Video,Food,,
01ab84dd-6364-4236-abbb-3f237db77180,Scared,2021,5,Video,Food,negative,15.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,2020,10,Gif,Cooking,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Interested,2021,2,Gif,Cooking,positive,30.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Hate,2021,5,Gif,Cooking,negative,5.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Want,2021,1,Gif,Cooking,positive,70.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Peeking,2021,2,Gif,Cooking,neutral,35.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Dislike,2020,11,Gif,Cooking,negative,10.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Love,2020,6,Gif,Cooking,positive,65.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Cherish,2021,2,Gif,Cooking,positive,70.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Interested,2021,1,Gif,Cooking,positive,30.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Adore,2020,11,Gif,Cooking,positive,72.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Like,2020,12,Gif,Cooking,positive,50.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Like,2021,5,Gif,Cooking,positive,50.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Cherish,2021,1,Gif,Cooking,positive,70.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Indifferent,2021,1,Gif,Cooking,neutral,20.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Adore,2021,5,Gif,Cooking,positive,72.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Worried,2021,5,Gif,Cooking,negative,12.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Peeking,2020,7,Gif,Cooking,neutral,35.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Dislike,2021,5,Gif,Cooking,negative,10.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Dislike,2021,2,Gif,Cooking,negative,10.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Intrigued,2020,12,Gif,Cooking,positive,45.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Indifferent,2020,10,Gif,Cooking,neutral,20.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Peeking,2020,9,Gif,Cooking,neutral,35.0
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,Adore,2021,5,Gif,Cooking,positive,72.0
3f8590c7-6ab2-4973-805a-90cdec355f05,,2020,12,Video,Dogs,,
3f8590c7-6ab2-4973-805a-90cdec355f05,Cherish,2021,2,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2021,4,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Intrigued,2021,1,Video,Dogs,positive,45.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Worried,2021,3,Video,Dogs,negative,12.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021,1,Video,Dogs,negative,0.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2020,12,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Hate,2021,5,Video,Dogs,negative,5.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Like,2021,3,Video,Dogs,positive,50.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Peeking,2020,9,Video,Dogs,neutral,35.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Indifferent,2020,11,Video,Dogs,neutral,20.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2021,3,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021,1,Video,Dogs,negative,0.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Want,2020,9,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2020,6,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Hate,2021,2,Video,Dogs,negative,5.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Intrigued,2021,1,Video,Dogs,positive,45.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Dislike,2021,2,Video,Dogs,negative,10.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Worried,2020,8,Video,Dogs,negative,12.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Cherish,2020,8,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Scared,2020,8,Video,Dogs,negative,15.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Want,2021,6,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Super love,2020,10,Video,Dogs,positive,75.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Dislike,2020,12,Video,Dogs,negative,10.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Scared,2021,3,Video,Dogs,negative,15.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Indifferent,2021,3,Video,Dogs,neutral,20.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2021,6,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Scared,2020,12,Video,Dogs,negative,15.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Scared,2021,2,Video,Dogs,negative,15.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2020,12,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2020,12,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2020,10,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Worried,2020,9,Video,Dogs,negative,12.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Scared,2020,11,Video,Dogs,negative,15.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2020,7,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2021,3,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Interested,2020,10,Video,Dogs,positive,30.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Heart,2020,11,Video,Dogs,positive,60.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Want,2020,10,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Disgust,2021,2,Video,Dogs,negative,0.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Want,2021,2,Video,Dogs,positive,70.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Hate,2020,10,Video,Dogs,negative,5.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Like,2020,8,Video,Dogs,positive,50.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Love,2021,2,Video,Dogs,positive,65.0
3f8590c7-6ab2-4973-805a-90cdec355f05,Adore,2021,1,Video,Dogs,positive,72.0
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,,2020,10,Video,Technology,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,Want,2021,3,Video,Technology,positive,70.0
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,Super love,2021,2,Video,Technology,positive,75.0
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,Heart,2021,2,Video,Technology,positive,60.0
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,Worried,2020,7,Video,Technology,negative,12.0
0bedca96-fb76-4287-a83c-17330ed39cce,,2020,8,Photo,Soccer,,
0bedca96-fb76-4287-a83c-17330ed39cce,Adore,2020,7,Photo,Soccer,positive,72.0
0bedca96-fb76-4287-a83c-17330ed39cce,Indifferent,2021,1,Photo,Soccer,neutral,20.0
0bedca96-fb76-4287-a83c-17330ed39cce,Worried,2021,1,Photo,Soccer,negative,12.0
0bedca96-fb76-4287-a83c-17330ed39cce,Intrigued,2020,11,Photo,Soccer,positive,45.0
0bedca96-fb76-4287-a83c-17330ed39cce,Want,2020,8,Photo,Soccer,positive,70.0
0bedca96-fb76-4287-a83c-17330ed39cce,Hate,2021,2,Photo,Soccer,negative,5.0
0bedca96-fb76-4287-a83c-17330ed39cce,Love,2021,6,Photo,Soccer,positive,65.0
0bedca96-fb76-4287-a83c-17330ed39cce,Adore,2020,8,Photo,Soccer,positive,72.0
0bedca96-fb76-4287-a83c-17330ed39cce,Cherish,2021,4,Photo,Soccer,positive,70.0
0bedca96-fb76-4287-a83c-17330ed39cce,Super love,2020,6,Photo,Soccer,positive,75.0
0bedca96-fb76-4287-a83c-17330ed39cce,Like,2020,8,Photo,Soccer,positive,50.0
0bedca96-fb76-4287-a83c-17330ed39cce,Love,2020,11,Photo,Soccer,positive,65.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,,2020,12,Photo,Public speaking,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,Want,2021,4,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Indifferent,2020,7,Photo,Public speaking,neutral,20.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Dislike,2021,3,Photo,Public speaking,negative,10.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Want,2021,5,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Like,2020,11,Photo,Public speaking,positive,50.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Indifferent,2020,10,Photo,Public speaking,neutral,20.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Heart,2020,9,Photo,Public speaking,positive,60.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2021,3,Photo,Public speaking,negative,15.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Adore,2021,1,Photo,Public speaking,positive,72.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Peeking,2020,7,Photo,Public speaking,neutral,35.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Like,2021,3,Photo,Public speaking,positive,50.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Intrigued,2020,11,Photo,Public speaking,positive,45.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Cherish,2020,8,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Peeking,2021,6,Photo,Public speaking,neutral,35.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Worried,2020,7,Photo,Public speaking,negative,12.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Intrigued,2021,3,Photo,Public speaking,positive,45.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Super love,2021,4,Photo,Public speaking,positive,75.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Cherish,2021,4,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Heart,2020,9,Photo,Public speaking,positive,60.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Heart,2020,7,Photo,Public speaking,positive,60.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2021,1,Photo,Public speaking,negative,15.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2021,1,Photo,Public speaking,negative,15.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Hate,2020,12,Photo,Public speaking,negative,5.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Disgust,2021,5,Photo,Public speaking,negative,0.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Disgust,2021,2,Photo,Public speaking,negative,0.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Adore,2020,7,Photo,Public speaking,positive,72.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Dislike,2020,7,Photo,Public speaking,negative,10.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Like,2020,10,Photo,Public speaking,positive,50.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Heart,2020,11,Photo,Public speaking,positive,60.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Want,2021,2,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Intrigued,2020,7,Photo,Public speaking,positive,45.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Adore,2020,6,Photo,Public speaking,positive,72.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Worried,2020,11,Photo,Public speaking,negative,12.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Like,2021,5,Photo,Public speaking,positive,50.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Indifferent,2021,2,Photo,Public speaking,neutral,20.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2021,1,Photo,Public speaking,negative,15.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Adore,2020,10,Photo,Public speaking,positive,72.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Hate,2020,11,Photo,Public speaking,negative,5.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2021,4,Photo,Public speaking,negative,15.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Love,2020,6,Photo,Public speaking,positive,65.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Want,2020,12,Photo,Public speaking,positive,70.0
b18cb63f-4c8e-44ee-a47f-541e95191d11,Scared,2020,11,Photo,Public speaking,negative,15.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,,2020,9,Gif,Science,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Super love,2020,6,Gif,Science,positive,75.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Heart,2020,8,Gif,Science,positive,60.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Intrigued,2020,7,Gif,Science,positive,45.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Super love,2020,10,Gif,Science,positive,75.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Worried,2020,7,Gif,Science,negative,12.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Cherish,2021,4,Gif,Science,positive,70.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Indifferent,2021,1,Gif,Science,neutral,20.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Adore,2020,8,Gif,Science,positive,72.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Intrigued,2020,10,Gif,Science,positive,45.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Love,2020,8,Gif,Science,positive,65.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Scared,2020,10,Gif,Science,negative,15.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Heart,2020,10,Gif,Science,positive,60.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Want,2020,12,Gif,Science,positive,70.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Like,2021,1,Gif,Science,positive,50.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Hate,2020,8,Gif,Science,negative,5.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Love,2020,12,Gif,Science,positive,65.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Disgust,2020,11,Gif,Science,negative,0.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Adore,2021,4,Gif,Science,positive,72.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Scared,2021,4,Gif,Science,negative,15.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Intrigued,2020,7,Gif,Science,positive,45.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Intrigued,2020,7,Gif,Science,positive,45.0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,Love,2021,3,Gif,Science,positive,65.0
46fb701d-6c26-458e-ada3-2ebe5dbba01f,,2021,4,Audio,Public speaking,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,,2020,12,Gif,Tennis,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Cherish,2020,9,Gif,Tennis,positive,70.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Worried,2021,1,Gif,Tennis,negative,12.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Indifferent,2021,1,Gif,Tennis,neutral,20.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Super love,2020,9,Gif,Tennis,positive,75.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Worried,2021,1,Gif,Tennis,negative,12.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Indifferent,2020,9,Gif,Tennis,neutral,20.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Super love,2021,5,Gif,Tennis,positive,75.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Worried,2021,5,Gif,Tennis,negative,12.0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,Intrigued,2020,8,Gif,Tennis,positive,45.0
